graph_name,mdfvs_size,v,e,diff,time_0,time_1,time_2,time_5,time_10
1410_e_049,35,62,344,27,35.42930498,17.71348915,20.19146648,23.42683558,34.27010775
1419_e_049,39,69,396,30,53.59589553,37.14990654,43.13131137,38.51120892,49.38128734
1611_e_053,34,51,304,17,25.77875442,12.74917078,14.50066261,15.81457558,23.59741821
1627_e_053,30,44,336,14,17.75475635,13.67410264,15.69225688,20.9059895,26.80690031
1644_e_053,31,44,337,13,18.52546511,12.16428327,13.84381962,19.27025509,28.38665266
1661_e_053,35,48,366,13,139.7791313,98.55691253,89.92462502,86.35471187,91.7351604
1665_e_053,39,58,386,19,114.8719681,90.98810921,89.31295648,59.56274357,95.68584132
1979_e_057,69,110,426,41,32.13852792,29.99476948,29.0513495,34.53721666,41.84229369
2190_e_063,50,83,450,33,27.09379139,10.13174677,12.40530667,15.34694848,20.29223561
2240_e_063,36,59,396,23,16.49955988,17.39952517,14.94215889,19.13445778,27.50202265
2621_e_069,48,79,470,31,20.89605832,9.422807217,8.90729785,12.3733109,19.18276839
2689_e_069,37,57,386,20,19.41618323,11.54889774,11.81614833,14.42682538,20.13471203
2719_e_069,40,66,420,26,32.22199989,19.28325934,20.65934367,21.14349837,26.40665903
3000_e_073,27,43,333,16,21.91397023,15.60346561,14.27021246,21.08974261,30.14931712
3073_e_073,28,45,346,17,18.83038626,18.18262872,20.35471826,28.21305909,36.85343213
3161_e_077,32,51,336,19,19.68092032,16.14012299,18.35644989,24.89969993,31.50279741
3174_e_077,37,60,338,23,23.63442016,18.77796998,20.80515332,26.68581786,35.14489298
3232_e_077,36,55,323,19,14.6576293,8.168592119,8.782998562,13.24791346,20.83315892
3247_e_077,42,62,394,20,60.40052361,39.0752397,21.61173687,17.70045018,25.41909208
3251_e_077,38,51,364,13,22.22076278,10.37292938,9.783195591,13.9332397,20.22756491
3272_e_077,31,43,268,12,16.81762228,8.77812891,9.53023696,15.26669521,21.92351818
3403_e_079,53,81,435,28,49.8533186,20.54435601,18.36039634,22.27266226,28.82392726
3418_e_079,35,54,379,19,57.98892641,64.48880296,56.59642267,61.75608602,75.29923701
3429_e_079,34,50,351,16,55.94178729,50.67770243,49.52265954,51.93959704,64.43206501
3449_e_079,45,66,408,21,19.35789123,10.78335757,11.54867897,11.83793945,18.12370558
3488_e_079,42,68,384,26,33.40740433,24.55796967,24.89800024,32.52257123,44.86184135
3586_e_081,44,65,414,21,145.7059519,48.42986731,41.66587339,35.76633334,47.07897787
3647_e_081,40,61,350,21,71.63398662,36.46715779,40.66940346,38.29459414,50.88184447
3688_e_081,44,67,425,23,69.00652166,35.2730391,30.55663462,37.7688796,44.46039557
371_e_019,44,70,441,26,99.26718592,58.13860998,61.08303742,63.09988661,65.39090123
3753_e_081,46,82,439,36,86.53193016,42.45382586,42.47436876,45.99289136,58.63104372
3757_e_081,46,76,439,30,21.94418683,10.95416656,12.54085965,17.5103951,24.19089275
3758_e_081,28,40,290,12,20.14649587,20.08854013,22.8086267,28.21688528,37.50423541
3784_e_081,39,64,355,25,28.31939645,6.693009281,7.46309433,10.54423346,17.37207522
4581_e_093,36,54,377,18,40.32614078,17.47628145,18.09589486,21.24640083,29.29432893
4597_e_093,41,65,413,24,27.58810244,13.55781827,14.98612862,20.2254477,27.58455496
4673_e_093,42,61,408,19,214.4622016,124.1006611,122.7461717,124.4836597,113.4444012
4676_e_093,32,46,313,14,58.78578253,38.96194797,38.85626469,47.07906032,57.59995079
4720_e_093,33,47,282,14,52.48850937,31.36213593,25.79000502,29.8306942,33.30064149
4768_e_093,37,51,342,14,44.37641511,34.72812786,37.41263895,42.02226343,52.17428703
4806_e_093,32,47,322,15,18.78763714,18.48687992,20.65104647,27.27479591,40.60586629
4861_e_093,40,63,381,23,79.04140248,39.66406178,33.97839351,40.07585211,49.37604728
4868_e_093,37,55,321,18,28.82019477,13.92279611,14.92922068,20.24949784,27.78047104
4892_e_093,40,61,353,21,28.36972556,8.509485436,9.067347908,12.60815506,17.83905606
4913_e_093,40,62,364,22,89.08244967,43.87303729,42.73788281,44.09813972,46.65308342
4949_e_097,32,52,343,20,16.35246839,9.842991449,10.8625732,15.08637114,23.15735064
4966_e_097,37,63,387,26,14.24390163,10.01015172,9.703007604,14.9408689,20.34089685
4985_e_097,44,65,385,21,86.18303847,64.41913633,48.13641147,52.54680357,64.22168069
4987_e_097,38,61,396,23,36.11426616,23.12931571,26.14358463,30.33629623,39.74767862
4995_e_097,42,62,388,20,23.08616343,8.679316569,9.892133807,14.7518795,19.88752189
5040_e_097,41,64,416,23,18.54996982,11.77323251,12.93431415,19.34650264,27.78454666
5050_e_097,29,46,295,17,30.01542249,30.43672752,31.77842607,40.88702607,42.2337606
5128_e_097,36,57,380,21,94.02520041,54.80400038,58.09320779,62.00544462,67.04451594
5230_e_097,35,56,394,21,17.53449049,14.16746569,14.59944386,19.98586292,27.70749421
5249_e_097,36,60,350,24,20.953929,16.1009151,17.76503215,23.57817454,31.47820621
5401_e_099,30,43,298,13,25.37938218,20.95337572,22.28885169,30.1735785,44.4033073
5450_e_099,47,75,377,28,24.17098794,6.213219738,7.253658819,11.02078333,16.93473315
5517_e_099,34,50,313,16,33.27915511,19.82645269,20.08798828,23.25317907,30.43656836
5571_e_099,41,66,346,25,49.35429249,30.77218299,29.90820894,47.00774412,46.92626972
5599_e_099,33,51,309,18,36.0317338,27.04365516,27.6620441,36.07390366,48.97934646
5738_e_099,39,57,334,18,107.2517852,57.02343678,45.28795705,44.29895797,42.00286245
5746_e_099,42,68,363,26,26.80966459,20.02430668,19.03801098,22.58621697,30.54075603
5807_e_099,35,54,343,19,54.98422151,27.85424691,28.30571771,34.53023248,39.75936599
5895_e_101,40,56,394,16,45.82387543,30.87233038,25.10025029,31.56881194,35.41618772
5909_e_101,37,55,357,18,119.906203,65.00821109,67.81551738,70.63395557,78.83107672
5927_e_101,34,48,331,14,47.1283534,16.44677067,17.40882797,22.16828771,32.30985823
5938_e_101,39,57,379,18,92.88635626,75.49117427,76.09299392,81.63363571,94.15030503
5943_e_101,28,43,321,15,17.05346961,18.2221611,19.87192469,28.40538731,36.74205484
5965_e_101,45,69,425,24,81.88038573,33.19546452,34.8900207,39.58329582,48.83032255
5992_e_101,32,49,293,17,18.94411316,10.10390048,10.88599601,15.63363147,23.21510091
6015_e_101,32,48,295,16,22.57064051,21.54496846,21.52666211,25.97551475,36.90198808
6112_e_101,35,52,321,17,17.11649714,16.26660633,18.20471296,21.83873591,28.92461176
6126_e_101,40,66,406,26,65.47693414,45.09711218,47.32289209,48.51673131,47.49967222
6199_e_101,32,48,308,16,16.75851875,7.315744591,7.471738481,11.86227555,18.55720658
6229_e_101,38,57,392,19,24.15723763,13.62037954,13.57113194,17.4607007,24.87967014
6234_e_101,34,51,338,17,17.18489266,12.14475965,11.92730064,16.39477568,24.37282004